Drug,Review,Score,Likes
Cariprazine,"<b>Vraylar (cariprazine):</b>			 After 20 years of being medicated, I can finally say that Ive found a pill that makes people feel more violent. Its Vraylar. I took it for about 10 days. I felt myself becoming more angry and easily agitated as I continued to take it. I took it at night and would notice myself becoming a bit insane around 2pm everyday. Im literally afraid of this medication.",0,15
Cariprazine,"<b>Vraylar (cariprazine):</b>			 I was given Vraylar 3mg (samples because I couldn't afford it even with insurance!) for my  bipolar/manic episodes uncontrolled by other meds.. Unfortunately I didn't get to see if it worked because 4 days of massive migraine type headaches and nausea (some with vomiting, sometimes w/o) I stopped for a little over a week and the headache and nausea went away IMMEDIATELY. Doctor encouraged me to try again (1.5mg this time) I took it for 3 days... same scenario. I read the side effects and both are listed there but this wasn't just slight discomfort, it was SEVERE. I asked my Doc if I might be allergic he said it was just the side effects and I should push through, but it was not going to happen. After reading ALL OVER THE internet anything Vraylar related, and speaking with a few people who have taken it, I have found only 25-30% have seen benefits from this medication. Maybe if that number was higher.. I might have  pushed through  but I'm just not seeing the point.",0,14
Cariprazine,<b>Vraylar (cariprazine):</b>			 I just started Vraylar and don't really notice a difference in my moods. I have slept horribly the last two nights tossing and turning and waking up at odd hours. During the day I'm tired and sluggish.,0,13
Cariprazine,"<b>Vraylar (cariprazine):</b>			 20 years old, Female with bipolar. The first few weeks on Vraylar I experienced restlessness, drowsiness and hot flashes. After my body adjusted to the medication, all I can say is that its worked wonders for me. I havent had any mood swings, I feel as stable as Ive been for years, and will continue taking this medication. Glad to have found something that finally works. Thanks Vraylar!",0,29
Cariprazine,<b>Vraylar (cariprazine):</b>			 Ive been taking 200mg Seroquel (helps me sleep) with 3mg Vraylar and my bipolar 1 is totally under control for the past 3 years.   Vraylar doesnt make me tired but with the Seroquel Im in great shape.   Thank God and my doctor.,0,26
Cariprazine,<b>Vraylar (cariprazine):</b>			 I have been on Vraylar for two weeks for bipolar depression. I take 3mg at bedtime. The first day after I had taken it the Vraylar sent me into a manic state.The second day I was equally manic but the mania was more or less controllable if that makes sense...Haha. Two weeks in I can feel the Vraylar working because Im more optimistic toward life. I look forward to things again. Only side effects I had were slight fatigue and of course the first few days of mania. I do recommend this drug if youre feeling empty and alone and just want to be left alone all together. Im grateful to actually laugh again.,0,39
Cariprazine,"<b>Vraylar (cariprazine):</b>			 I am 72 and have had bipolar 1 since the age of 15. I have never been well since menopause age 50, and have tried every drug on the market. Finally, I went to a new doctor (NP) who put me on Vraylar. I was very wary of anti-psychotics because I started getting really shaky with Seroquel and Zyprexa. However, Vraylar seems OK. I have been on it for 3 months, started on 1.5 for 7 days, had to go up to 3mg due to a big manic episode that last 8 days. Vraylar stopped it the next day. The problems have been exceptionally vivid dreams and insomnia. I take many other things for insomnia, but nothing works. I have been lying awake for hours ever since starting this medication. It is such a shame as I have never felt better in my life. I am going to see my doctor on Wednesday to see what she thinks.",0,37
Cariprazine,"<b>Vraylar (cariprazine):</b>			 Other than the restless legs and sleep disruption, which goes away after a few weeks, Vraylar is the first medication I have found that really works for me, and worked quickly, too. I tried about 7 different antipsychotics before finding this one, and it has truly helped with my depression and mood swings. I can still feel my cycles trying to pull me in those directions, but it's like I have a choice now, and the option to make rational decisions.",0,37
Cariprazine,"<b>Vraylar (cariprazine):</b>			 This garbage turned my love into an unrecognizable monster , stay as far away from this as you can",0,21
Cariprazine,"<b>Vraylar (cariprazine):</b>			 I have Major depressive disorder w/psychotic features and I took Vraylar for 1st time last night, woke up with extreme headache, nausea, couldn't stop throwing up. I don't know if they could've been the med just taking it one time, idk, but seems too coincidental. I am scared to take again.",0,18
Cariprazine,"<b>Vraylar (cariprazine):</b>			 I've been on 1.5mg about 3 weeks now. I have bipolar and my manic and depressive swings were almost instantly balanced out, however I do feel more activated than previously when I was on geodon. That's not necessarily a problem. Consistently waking up for the day at 4 a.m. but feel well-rested and ready. Only other thing I would say is that I haven't felt this clear-headed in years. No immediate side effects.",0,62
Cariprazine,"<b>Vraylar (cariprazine):</b>			 I have Bipolar I. Have tried every drug out there and was excited at what Vraylar promised. My moods were rapid cycling and I was already on 2 mood stabilizers. Both depression &amp; mania were exaggerated. At 1st the Vraylar was great. I felt normal for the 1st time in a long time. I was on 3 mg. By the end. Bad news, I gained 65 pounds in 4 months. I had to get off the medication. Cholesterol also went up.",0,39
Cariprazine,"<b>Vraylar (cariprazine):</b>			 I had become extremely manic from Lupron ,which I was taking as part of endocrine therapy for the prevention of breast cancer. My doctor put me on Latuda, which made me more manic and landed me in the hospital twice. I asked for Seroquel just to reign it in, but my outpatient psychiatric is not a fan of Seroquel and neither am I because its so mind-numbing and sedating. He put me on Vraylar and it worked magic. I had zero side effects, which for me is highly unusual since I often have even rare side effects from most drugs. As for weight gain, I havent noticed any from it. Ive gained 5 lbs but its not from Vraylar but from an increase in Paxil which I take for agitation and anxiety. Vraylar is the first anti-psychotic Ive ever taken that didnt have severe side effects",0,37
Cariprazine,<b>Vraylar (cariprazine):</b>			 Been on Vraylar 1.5 mg for a month now. My mood swings have improved greatly. Do not like the feeling of being extremely tired all the time.,0,25
Cariprazine,"<b>Vraylar (cariprazine):</b>			 Am Bipolar I, was having a terrible episode of depression and 1.5mg of Vraylar  made it disappear in less than a month.  It IS causing weight gain.  But I haven't felt this balanced and upbeat in a very long time.  Thank heaven's my psychiatrist is providing samples as the cost is absurd, even with insurance.  Also take 45mg Mirtazapine at bedtime (for depression/anxiety/sleep), take the Vraylar in a.m. &amp; 1 mg of Klonopin 3 times a day.  Haven't felt this good in decades.",0,34
Cariprazine,"<b>Vraylar (cariprazine):</b>			 Tried  Vraylar 1.5mg for Bipolar and the first time I tried it, my foot cramped so badly I had to manually unbend all of my toes with my hand. Quit taking it and tried again about 9 months later. It caused rage this time unlike anything I've experienced. I don't see how this drug is approved to improve mood. No telling what it would have done to my brain chemistry.",0,24
Cariprazine,<b>Vraylar (cariprazine):</b>			 It's a great med but I have put on almost 15 pounds on it,0,21
Cariprazine,<b>Vraylar (cariprazine):</b>			 Was given a diagnosis of bipolar after years of antidepressants that didn't work.  I was on Lithium for over a year but gained a ton of weight and have horrible acne.  Have tried zyprexa and abilify and nothing seems to work as well as the Vrylar does with some restlessness at 3mg.   I take 2mg klonopins and they help with the restlessness a lot.,0,13
Cariprazine,"<b>Vraylar (cariprazine):</b>			 I was on Vraylar for 2 weeks, bad side effects started at 10 day, its now 3 weeks later and I am worse than I have ever been because of this drug.  I was honestly ok before it, now I feel aggressive all the time and angry.  I used to have minor mania and bipolar.  Now I wish I could have that back.",0,16
Cariprazine,"<b>Vraylar (cariprazine):</b>			 Update to post dated August 10th. I saw my doc and explained that 1.5 mg was making me excessively sleepy. She suggested I cut the capsule in half. At first I was hesitant but I decided to try it.  Im happy to report that  Vraylar is now working its magic. I feel balanced, happy and motivated. Glad I followed her advice.",0,33
Cariprazine,"<b>Vraylar (cariprazine):</b>			 I didn't take it long enough to see if it would help.  First try during daytime, I felt really dizzy 30min after taking it, and lasted 30 min. I also blinked a lot.  I tried it at night next time. Woke up in the morning feeling like I was blinking my eyes a lot while asleep.  This medicine supposedly has higher risk than most other similar drugs of causing tardive diskenisia which can get worse or become permanent. Do not continue drugs that cause this reaction. Double check with doctor anyways.",0,11
Cariprazine,"<b>Vraylar (cariprazine):</b>			 Ive been on Vraylar for about a month for bipolar. It works wonders but it makes me excessively drowsy at 1.5 mg. I take the med at night and still feel drowsy  the next day. Needless to say, I have to stop taking it.",0,22
Cariprazine,"Ive been taking cariprazine for about three weeks. I didnt notice much the first week, except being slightly tired at the end of the work day. Over the first two weeks I slept about 2 hours less than normal. In the third week that has stabilized and Im resting fully. I can attest to a much lower level of anxiety and more open freer thought. My memory seems a touch better as well.  But most importantly the depression that Ive had mostly for 15 years is significantly, and possible completely gone. I dont feel manic, just relaxed.  But the main reason I wanted to post is to remind everyone that theres a card you can apply for to lower the cost of your prescription.  Best wishes to you all. Keep fighting. Its all worth it",8,5
Cariprazine,"<b>Vraylar (cariprazine):</b>			 I am on my third week of Vraylar and the first two weeks were horrible. I was feeling like I was manic and depressed at the same time like I would cry for no reason and then all of a sudden get manic and be cussing and mad at people. I just got out the hospital recently and just got put on this medication it seems like  now those side effects are  slowing down, but the only problem is I'm thinking I should take it during the day instead of night because I wake up every hour on the hour and by 4 a.m. I just give up sleep and my anxiety level has increased",0,19
Cariprazine,"<b>Vraylar (cariprazine):</b>			 I've got bipolar disorder, PTSD and depression. I've been on many antipsychotics and Vraylar is one of them. I get pain in my stomach, nausea, and vomiting. I've been on it for two weeks now. Hopefully the symptoms will get better because I do have more energy. I don't know about the weight gain.",0,8
Cariprazine,"<b>Vraylar (cariprazine):</b>			 For the first 3 days, I felt a reduction in anxiety but had a cloudy feeling. Over the next week, I started to get depressed and increasingly groggy. In weeks 2 and 3, I thought I was going to die. I was up all night long shaking and extremely agitated. My heart was thumping. I had a terrible headache and dizziness. I only slept 2-3 hours and only during the day. For anyone who is experiencing these side effects, I hope you find some peace knowing you are not alone. The drug has a long half-life so its going to take me a few days but I hope I can get back to my regular state.",0,23
Cariprazine,<b>Vraylar (cariprazine):</b>			 I am on this for OCD &amp; Anxiety. Vraylar medicine will make you gain a significant amount of weight if you take it for a long time. It also caused constipation for me. Other then that its  not a bad medicine.,0,16
