Drug,Review,Score,Likes
Gabapentin,"Took 300mg gabapentin one time for panic attacks and anxiety. My psychiatrist prescribes this to use when anxious symptoms became severe. After several hours I do feel that it helped my anxiety briefly, however I became very drowsy. Once falling asleep I slept very well! Better than most nights. I did wake up around 3am with tremors and hot flashes. My anxiety was full blown and I debated whether to take a Xanax to calm myself down because it was so severe. Made me feel very dizzy, hot, anxious, and made my muscles tense. The rest of the morning I had increased anxiety compared to normal. I will not be taking again. Many reviews state it helped people and wish I could have been so lucky.",1,25
Gabapentin,"I was prescribed neurontin for pudendal neuralgia. I gradually increased from 100 mg three times daily to 300 mg 3x a day. I also take 60 mg duloxetine and 20 mg buspar 2x daily. While my neuralgia didnt improve, it left me feeling great from reduced anxiety. However, I had to discontinue using it because it significantly impaired my ability to drive safely- I had two near car accidents in two days; and it caused major abdominal bloating in the evening. I am extremely disappointed as I felt better emotionally than I have in years.",3,14
Gabapentin,"I started taking gabapentin, 300 mg 3 times a day, about a month ago.  At first it did a lot for my anxiety, although I experienced a lot of side effects:  dizziness, bloating, weight gain.  I was able to cut way back on my ativan use.  However, the last week my anxiety has shot through the roof and I have had to take gabapentin about every two hours instead of four.  The side effects have subsided, though.  I am going to ask my therapist this Friday whether I should increase my dose or try to get off this drug.",5,17
Gabapentin,"I just started Gabapentin 600mg per day. Not sure if the dosage is low but not experiencing the relief I expected. I don't feel dizzy or nauseous like other medications but I still need my Klonopin to ease the panic attacks. I look forward to this new medication. I'll keep you updated in the near future. By the way, the optimal dose for anxiety is 900 to 1,800mg. But if a lower dose helps you then stick with it. Good Luck to everyone. I hope you find relief from anxiety.",9,37
Gabapentin,"gabapentin works differently for everyone. I took it for anxiety but only  temporarily because of concentration issues. I took 100mg every 6 hours and it helped me for a while. Currently, my anxiety is under control, but my mood is down. A combo of an antidepressant and gabapentin is a perfect match, but it doesn't work for everyone. It will either work or won't. The great thing about this medication is that you don't have to wait several weeks for it to work. It usually works immediately but if your anxiety is high then give it at least a week and at the right dosage for it to work. Some people can handle 300mg and some people need 1,800mg to be effective. Give it a chance before quitting.",8,44
Gabapentin,I wasted time with talk therapy and antidepressants.  Then by chance  I took gabapentin for pain when I got shingles.  I noticed that my generalized anxiety went away.  I also sleep a lot better.  I take 200 mg in the morning and 200mg at night.  I had to get used to it - it made me feel fuzzy brained at first. Before gabapentin  I used to like to have a cocktail to calm my nerves.  Now drinking alcohol doesn't even sound good.  I feel calm.  Why isn't this prescribed more?  I had to ask for it.,9,84
Gabapentin,"This definitely helps my social anxiety. Sometimes I don't want to shut up! (lol) However, I don't believe that this will help people with SEVERE anxiety and depression. Anti-depressants would probably work better. I think Gabapentin is more for people who have social anxiety disorder, at least through my experience. It also helps me with my alcohol cravings. My psychiatrist in rehab prescribed me Gaba 2 years ago and I've been on it ever since. I take 600-900mg a day.",9,40
Gabapentin,gabapentin has been excellent for anxiety,10,33
Gabapentin,"Started off at 300mg 3 x a day for anxiety, depression and insomnia. Didnt really do much at that level so the psychiatrist increased it to 400mg 3x a day and then upped it to 400mg 4x a day. I used to be on lorazepam for anxiety but stopped taking that because of the side effects. I can tell you with 100% confidence that Im feeling better on Gabapentin than anything Ive ever been prescribed for anxiety and depression. Ive also been sleeping through the night uninterrupted, which I havent been able to do for the past 20 years. This stuff works people, as long as its at the right dose for your personal needs.",10,108
Gabapentin,Gabapentin is fantastic for anxiety,9,53
Gabapentin,"This medication gabapentin has been AMAZING for my panic disorder. Within two days of starting gabapentin 300mg x 3 daily I saw incredible improvement. I have had my middle of the day dosage upped to 900mg only because that is when I experience the most anxiety. Only downfall is withdrawal symptoms. I went a couple of days without due to not being able to get my prescription filled and the withdrawal was awful. Shaking, chills, confusion, etc. If you do choose to get off of the medication, follow your doctor's directions and taper off gradually.",10,54
Gabapentin,"Tried gabapentin at several doses for anxiety. Felt nothing from the 100mg/3x day that my doctor started me at, so we upped it 200mg/3x day. I couldn't tell for certain whether it was making anxiety worse or still having no effect until we upped it to 300mg/3x day when I knew that it was making me feel spacey, disconnected and overall more anxious and unable to focus and think straight.",5,41
Gabapentin,"I'll give gabapentin a 5 because it works insanely good for my neuropathic pain, but for my anxiety I don't know. I just can't find the right dosage. I've been on everything from 1200mg to 600mg. 600mg worked well for about three months, but suddenly 600mg stopped working and is now giving me anxiety. I tried to up the dose, but it didn't work. Now I'm trying to lower the dosage, but it also gives me anxiety. I'm tired of not getting the right dose. It is a lot of anxiety and it feels pretty hopeless. I'm now gonna try to taper down slowly to about 300mg's because I see a lot of people that use it for anxiety at that dose. I just want minimal pain and to be calm...",5,26
Gabapentin,"I had a nervous breakdown (lots of anxiety and depression), ended up in the ER and was given gabapentin three X 100 mg a day (about 2 months ago). It worked immediately; with in an hour of my first dose I had a big appetite (had lost 10 pounds), a big mood lift and a boost in energy. The side effects (grogginess and confusion) were gone in less than a week.  It worked really well for about a month and then I felt it starting to wear off. My pdoc doesn't believe higher doses will benefit me so need to find something else.  I agree with others that the effects wear off after a while and bigger doses may be needed, but I really liked it and it worked very well for depression where my other meds (ativan and propanolol) did not.  Even though I feel it's worn off, I am still not as bad as I was (I believe it is still helping somewhat). Overall, it worked well for me but it may not be a good option if something long-term is needed.",9,48
Gabapentin,"Eh. I tell myself it works, so I think that helps. Psych scared of anti-anxiety meds so he scripts anticonvulsants off label. Seems to work better PRN. If I take it on a regular basis I get fatigued and shaky. This drug relieves my anxiety as much as Benadryl, without causing the sleepiness so that's a plus. Seems to help in acute social situations to take the edge off. I think it helps my chronic back pain a bit, but that could be my imagination. I give it a 6 because side-effects are mild, the drug is cheap, safe, and at my disposal.",6,27
Gabapentin,"Gabapentin was prescribed for my anxiety, was also suffering from depression at the time. Experienced near instant  relief after first 100 mg dose kicked in. Good stuff.",10,66
Gabapentin,"After several years of taking increasing doses of several other anti-depressants with diminishing results, my psychiatrist diagnosed me with treatment-resistant/atypical depression (along with the anxiety). I was kept on Wellbutrin, and gabapentin and remeron were added in. It was one wild ride. I felt so loopy and out of it, but I felt completely emotionally dead and empty. It was quite scary. I spent an hour once just slowly pacing my hallway and then staring into space. They cut my dosage, but the side effects were still just too much. Once I cut the gabapentin completely, the side effects were gone.",0,28
Gabapentin,"Gabapentin is great! 300mg x2 daily All my anxiety is gone, the pain on my neck, shoulders and legs as well. Finally, I found the right medication after trying so many different prescription's for my anxiety. I give it a solid 10!",10,90
Gabapentin,It only kinda worked the first time I used it but I must say that I think it worked better that time due to the fact that I didn't sleep the night before (as in 0 hours of sleep). I took it again the next day and I didn't feel any different. I was still as tense and as anxious as ever. I wish people would quit demonizing the other pills. Maybe then people like me who really need them could get our hands on them BUT nooo people keep abusing those pills so now you've got all these hurdles people like me gotta get over in order to get a medicine that actually works. Gabapentin isn't very effective at all. For me it did absolutely nothing.,1,43
Gabapentin,"Been on 3600mg past couple years. I read notes of everyone's personal experience with it for anxiety, but I see it's so different for everyone. I have schizoeffective disorder. It helps with the anxiety part and the depressive part, but I can tell it must be noticeable to other's if i'm on it because some acquaintance I've known thru my wife really have dramatically different interaction with me now compared to before I was on this. Very distant to me now. On other hand, it's more important for mySELF. But it has worn off a lot if i take it every day. I'm so depressed during those periods. It's a trough. Would be even less depressed if I wasn't on it at all, but then I would not have the up swings with it either. It's very difficult to manage it.",0,18
Gabapentin,"If there is one word to describe this drug, it would be 'HORRIBLE'! I am taking 100 mg of this gabapentin poison twice a day and the side effects are not like anything that I have EVER experienced before. Insomnia, anxiety, visual disturbances and nightmares when I do sleep. I just stay in my room on the bed night and day. Concentration loss and have lost all interest in everything. I attempted to stop taking it and the withdrawal started 14 hours after my last dose. When I call the DR, he tells me these symptoms are not from the poison. WHAT! They started a few days after I started it. Some how, some way, I must stop this vile substance.",1,29
Gabapentin,"Been on gabapentin for over 10 years.  It helps with certain parts of anxiety, mainly tension and irritability.  However, and I swear some Psychs don't get this, you have to take it religiously every 4-5 hours for it to work.  If I got past that mark, my shoulders and back tense up, everything annoys me, and I start to hate everything.  Sounds tough, but it hasn't affected my organs negatively, and when taken properly, it works.",9,64
Gabapentin,"I think its helping. Hard to say, as I am on a lot of other meds that are helping me feel better. Either way, Im not vomiting from anxiety anymore and I can eat  so it mustve done something!",8,24
Gabapentin,"I first started Gabapentin to address severe anxiety and depression as well as a drinking problem. At first this drug was a miracle. for about a year-and-a-half I told everybody that this drug saved my life. I wasn't drinking, it had reduced depression, and almost no anxiety. However, over time I started to notice that if I didn't take the medication within four or five hours of my last dose I would have temporary withdrawal. This includes sweats, extreme irritability and anxiety, and an inability to focus. As mentioned in many other posts, it does very noticeably affect your memory. So while immediately helpful, in the long-term I have developed a dependency on this drug and experience withdrawal symptoms on a day-to-day basis which is difficult to manage. I've been on this drug for over 2 years, with all different dosages, and I want to get off it now. It is an amazing temporary fix but leads to dependency and other mental stress.",6,53
Gabapentin,"I have been originally on only 300mg to help me sleep about 3 years ago. I did help a bit. But since then, I've been on about 3200mg per day past couple years. I usually end up taking most of that if I have to go somewhere, like a public place such as a house event etc..almost anything really. It doesn't last nearly as long as it did in the beginning. Now, about 2 hours or slightly more and it seems done. After that I start feeling depression and anxiety creep in. I take the other remainder at night but even that's not enough now to help me sleep. I get zero sleep. Probably an hour per WEEK past many years actually. Sounds impossible but it's true. I'm wide awake all night. I have always had that though, but the anxiety caused by the temporary withdrawal of the Gabapentin doesn't help I'm sure.",0,25
Gabapentin,Took them to feel good at first really helped me. Being in recovery it got me threw a lot of hard times thinking about getting high on heroin it pushed me threw to stay off dope another day. But recently I took them one sat night as usual and I started getting these weird jolts and uncontrollable movements ultimately ended up having a seizure in the hospital. Now I cant take them any more the make me feel weird and uncomfortable to the point where it puts me in a anxiety attack. I do not recommend them for anyone horrible drug used for the wrong reasons. One 300mg a day is it nothing more. .....just my experience,0,18
Gabapentin,"I would give gabapentin a higher rating when it comes to nerve damage but for anxiety, I dont notice it doing a single thing. Ive been taking  this along with opioids for chronic pain for awhile and we tried upping it and decreasing benzos for anxiety but it never helped me with anxiety. Ill stick to the benzos. But try this before a benzo please!",2,16
Gabapentin,"I have just started taking gabapentin for anxiety.  It took less than a week for me to start feeling better on this drug. It seems to have completely removed my anxiety. Here is the weird part... I am only using gabapentin at a 100 mg dose and it works for anxiety.   I have to state though, I take high dose of Cymbalta (90mg dose) and Adderall (40mg dose) Those two drugs take care of my depression and lack of focus. So maybe that is why I am responding so well to such a small dose of gabapentin. I am supposed to go up another  100 mg in a few days. I may wait stay at this dosage for a while and see if it continues to work for me.",0,27
Gabapentin,"My doctor tried gabapentin along with 60 mg Cymbalta for my severe anxiety/panic disorder. On 300 mg per day, I could not keep my eyes open and kept nodding off. It did not help my anxiety it just made me feel sleepy and spaced out like I was on morphine or heroin. I could not work, drive, or function at all on this drug. I nearly wrecked my car and people thought I was on drugs. However, the same combination helped my mom tremendously with her depression and neuropathy. She had no side effects.",1,24
Gabapentin,"I have been on gabapentin for roughly 2 years and it has helped me, I have bipolar disorder and nothing had worked. I was constantly depressed. So my doctor put me on this. I also take Pristiq which is also good. I am also on lamatrigine. This is a great combination. At the beginning I was loopy but after my body got used to it I was living my life like everyone else.",10,30
Gabapentin,"Id been on Gabapentin a few times in the past for anxiety. This time they gave it to me for bipolar?!! Im struggling with this, taking 2400mg (top dose) mg/day. My memory is gone. Long term memory fine, short term gone. I cant sit and watch TV without extreme anxiety, getting up every 10 min, crossing and uncrossing legs, squirming. I had to get an excuse from jury duty saying I was unfit. .. all I can do is wager this time against the last times and remember how hard it was for me to even cook a meal, how it would take me 3 hours. Now I dont cook at all. Im too exhausted all the time. But coming off of it I feel extremely depressed (lay in bed ALL day) unable to sleep, etc. This drug also causes pancreatic cancer. Which my father in law died from. Help me get off this mess!!!! Im trapped.",1,22
Gabapentin,"Gabapenin let's me LIVE LIFE!! I have HORRIBLE social anxiety, it has made me miss many important moments in my sons life because I get too scared and nervous to leave the house.  Xanax and klonopin both helped to a small degree, but it was still hard for me to do simple things like go to a store.  Then my doctor prescribed me gabapentin and all I can say is it is AMAZING for social anxiety!   I highly, highly recommend to anyone with social anxiety.  It changed my life.",10,89
Gabapentin,"I was prescribed 100mg 4x per day for anxiety and  it worked at first. Then needed higher dosages, then came the side effects  of loss of memory, confusion, suicidal ideations and physical dependency.  I lost my job because I can't keep up with the pace of work and the increased depression. The withdrawals trying to taper off it are horrible. If there is another option rather than gabapentin I would consider it.",3,22
Gabapentin,"At first I thought gabapentin was great, it seemed like it was helping with my anxiety and I had zero urge to drink alcohol for the first time in forever.  Only problem is that after a few months I turned into a ZOMBIE!  I felt foggy all the time.  I had trouble waking up in the morning and always felt like I had this nasty headache.  It got hard for me to remember things; I could have conversation with someone and not remember what it was about an hour later.  I had to stop taking it because it was affecting my work; I was constantly spacing things and forgetting to, y'know, do my job.  The withdrawal was BAD. I experienced increased anxiety and feeling creepy-crawly sensation on my skin for several days.  Wish it worked out better for me because the original effects were great.",0,26
Gabapentin,"I have been on gabapentin for almost a month now. I am clinically diagnosed with PTSD, and major depressive disorder. I have had a very traumatic child so of course I suffer with anxiety related to PTSD. I cannot function in my day to day life without medication and I have to accept that.  Along with gabapentin 100mg 3 times daily for anxiety, I also take celexa for depression, Prazosin, and Trazodone for nightmares and sleep. My doctor is resistant to benzodiapenes, though I feel I need them, never been an addict. I have tried Busbar and vistaril with no luck. Doc suggestion gabapentin. When I take it within the hour I feel relaxed and my thought process slows down. I had had racing thoughts daily before this. I am not crippled in my day to day life with anxiety that prevents me from functioning. I do feel like I could benefit from higher dose as I feel like my body is adjusting to the medication and not giving me the effect it originally had the first week. But all in all, I have no complaints.",0,35
Gabapentin,"Gabapentin has really helped my anxiety and alcohol over use, and not addictive like Xanax. Helps my insomnia as well",10,31
Gabapentin,"Weak orgasms and loss of self. I was given 200mg for anxiety, depression, and partial seizures. For two weeks I felt like I was in a dark place and felt dull. I wouldn't recommend.",1,22
Gabapentin,"Gabapentin made me cry uncontrollably - I was on it for my anxiety. It gave me dark  thoughts and I felt buzzed,  weak, drained, and a worthless feeling. I almost ended up in the psychiatric hospital.",1,36
Gabapentin,"I was originally put in this drug to get off of benzodiazepines. I realized it was helpful with my anxiety somewhat as well. My doctor decided it may be in my best interest to continue taking this medication for a while. Unfortunately I started to have severe swelling in the abdomen and insane water retention in my hands, face, and neck. I put on about 15 lbs in a matter of two and a half months, which ultimately led to me coming off of this medication. Within the first 24 to 48 hours my body was in full blown water ridden.",3,19
Gabapentin,"I usually rate medications low because of side effects and non-ease of use. However, I am very impressed with this medication.  It goes in, does what it is needed for and didnt impair me to where I was non functional which has been the case with a lot of other medications for me. Gabawesome!",9,43
Gabapentin,"My doctor suggested I get off Klonopin and he put me on Gabapentin. It has helped tremendously with anxiety before bedtime. The best way I can describe it is I suddenly feel calm and dreamy and like I can turn my mind off and finally stop over thinking. Much in the way a benzodiazepine would make me feel, but without feeling too dizzy or like I'm losing my memory. Another thing it has helped with is to slow down my drinking. I use to drink before bedtime to help me fall asleep (which has its side effects, but I felt it was better than tossing and turning all night)... The Gabapentin actually turns off that craving somehow and I don't desire any sort of drink before bed. I also somehow quit smoking. The one thing I can tell you Gabapentin does NOT work with are things like panic attacks. Taking a Gabapentin during a panic attack will probably do nothing, in comparison to a benzodiazepine. It will reduce anxiety in a more general sense though.",9,60
Gabapentin,"This drug changed my life . I have had terrible anxiety my whole life which was followed by depression. SSRI's had little effect. I finished my degree and actually got a job.  For anxiety you need a higher dose , I started with 100mg x 3 and worked up to 1800mg a day, the sweet spot.  Few things I will warn others , the withdraw is pretty bad . I ran out 3 days before refill and begged the pharamacist to refill it 2 days early. As well , sometimes its difficult to get a good erection. My  psychiatrist gave me wellbrutin to counter that effect.  Genertic brand warning - auro gabapentin is a terrible , low effectiveness.  Apo is what I'm on.",9,26
Gabapentin,"I have taken many SSRIs, tricyclics, etc. that didnt help depression or anxiety.  Cognitive behavioral helped and  klonopin worked moderately, and thats all that worked.  I started Gabapentin at 100 mg 3 x a day.  I immediately noticed improvement and it also helped me feel more like not staying up late like I always do.  Klonopin is very helpful if you cant find relief in SSRIs &amp; you dont have addictions, but for the first time Im hopeful that this Gabapentin might work. If it works even better at a higher dose Ill give it 10 stars. The only other thing that helped me a lot was l-methyl-folate.  I have the MTHFR gene mutation and the l-metal folate worked, but I had a side affect every time I took it.  I found a doctor that might be able to get rid of the side effect.  So after 40 years I now have 2 drugs other than klonopin that give me some hope.   SSRIs give me bad side effects but no positive results.",7,25
Gabapentin,"Completely ended my depression.  Also lets me sleep soundly.  Taking 600mg x3 a day.  Only slight side effects for the first two days - felt tired and a little loopy, but nothing that concerned me.  The depression I had was absolutely crippling.  No other medicine I tried even touched it.  Gabapentin completely took it away.  I feel incredible!",10,66
Gabapentin,"I tried this several years ago. 300mg, then 600mg, then 900mg a day in divided doses. I helps with nerve pain, but I had horrible dreams that led to anxiety which I was already having problems with, so it got worse. The dreams became so vivid I started wondering if they were dreams or actually happened and I just thought they were a dream. I'm not Bipolar, don't suffer from clinical depression, but do have GAD from chronic pain. Maybe I can try it again at lower doses, say start at 100mg once a day, then twice, then three times. I'm on clonazepam now 2mg X 2 a day for atypical facial neuralgia and anxiety due to a crushed trigeminal nerve and other pain issues including arthritis. I have tried EVERY medical pain option out there. Clonazepam works, but I am afraid it will lose it's potency over time. I run, lift weights, cycle, watch my diet and am in excellent general health at 60+.",2,12
Gabapentin,Taking 500mg three times a day.  I was a complete mess before this miracle drug.  Now I no longer have anxiety or depression.  I have my life back.  It's amazing,10,59
Gabapentin,"Diagnosed bipolar and put on Lamictal. 1st panic attack sent me to ER at age 27. Had anxiety for 2 years. Doctor added Lexapro which eliminated all anxiety and panic attacks. In 2017 I had another panic attack that sent me to ER. My panic attacks felt like I was going to pass out and die. Doctor switched me to Paxil (40 mg) &amp; Klonopin (1.5 mg) and continued to take Lamictal (300 mg). I continued to have milder panic attacks and anxiety which felt like I was being choked. I tried Buspar but didn't help. My doctor mentioned gabapentin so I came across this forum and gave it a shot. My doctor started me on 100mg 3 X's a day and I am 260 lbs. It totally eliminated all anxiety and panic. I can drive, live life without fear of having a panic attack or dealing with daily anxiety. There are zero side effects for me. I am off the Klonopin and carry it with me just in case. I eliminated ALL caffeine from my diet. Gabapentin has been a miracle drug for me and I hope it helps you too.",10,74
Gabapentin,"I was on Benzodiazepines for forty years. I found a psychiatrist to help me get off. I was also in pain from a spine injury. I have a good spine doctor and he worked with the psychiatrist. They thought gabapentin would serve a two fold purpose for nerve pain and anxiety and withdrawal. It worked. I took gabapentin for almost a year and I stopped for six months. I can't say I experienced any bad side effects from stopping but the nerve pain was back and withdrawal from Klonapin increased. I got into a funk and low grade depression and had existential crisis and felt detached from everything. I decided to try gabapentin again and I have to say it turned my situation around. It's been eight months and I'm doing much better with both anxiety and nerve pain. For me the benefits far outweigh any side effects which are minimal for me. I am much calmer, feel normal, not emotionally detached and beleaguered. I can't say that I have experienced any of the horror stories I've read.",10,50
Gabapentin,After dealing with anxiety and depression for many years I started taking Gabapentin it is the best medication I have tried yet for anxiety tension and overall pain. I have been able to do so much while taking it.,10,46
Gabapentin,"It seems to be helping somewhat at 900 mg a day. I wish more folks here would specify the dosage. A lot of posts seem to be enthusiastic about this drug but I'd like to know how much to take - beyond the 900 mg's to feel a more profound, lasting effect",7,34
Gabapentin,I started taking gabapentin for anxiety and it changed my life. It gave me a level of control in my life I never experienced before.,10,53
Gabapentin,"Hello Everone, Took forever to find a current forum on this drug  - this one is great. My Dr. prescribed me Gabapentin for about the past 3 months and I've been skipping several days a week because I'm worried to death from what I've read everywhere, that it wears off in time. My days that I don't  take it are very bad. Once I start daily, that's it, no turning back again. I don't want to face withdrawal when the time comes if won't continue working in 5 months, or 3 years etc. Just scared and so worried, that's why I am saving days for it to work well. If anyone here has searched like me, the internet is 95% nothing but very bad news on this medication. I don't know what to do..confused.",0,23
Gabapentin,"Amazing drug for anxiety, especially social anxiety. Whenever I take gabapentin I'm able to go out and socialize without problems. I've been taking this for 6 years. I never had any luck with any other drug, and I've tried so many. The only side affect I get with gabapentin is if you don't take it consistently you will get really depressed and angry. At least I do.",10,58
Gabapentin,"Wow this medication is a lifesaver. It got me off Klonopin instantly. It did something unusual for me. I have Bipolar disorder type 2 and depression has just been my daily thing. This medication not only took away anxiety it completely took the depression away. I am on lamictal too. I have been on so many medications its scary. None of them working. This one has just sucked away my depression as if it never existed. I am amazed and even though I dislike medication, this one is a miracle. I take 1800 mg divided three times a day",10,42
Gabapentin,Saved my life. That's all I can say. I feel human again.,10,53
Gabapentin,"I first starting taking this medicine in summer of 2017 for anxiety and panic disorder to help me from taking so much klonopin.  I took 300mg 4x a day.   To be honest it did help for a while but I think it's just because it was making me high.  I know it doesn't directly affect gaba but it helps you detatch so you of course feel better. Over time it will lose its potency though and I just ended up more depressed  on it because it is a depressive drug.  Since January 2018, I have been tapering down from 4 a day to almost just one 300mg per day and I've lost 20 lbs and my suicidal thoughts have been drastically reduced.  I think this medication is probably good for short term use but overall not healthy to use for psychological reasons alone if you are prone to depressive thoughts or suicidal ideation.",4,29
Gabapentin,Works better for my anxiety than klonopin and xanax.  Also puts me in a generally better mood.,10,50
Gabapentin,"I have been on gabapentin for years. I have severe withdrawals. I stopped taking it for awhile, thinking Im addicted, I went back on it because I wasnt doing anything. Just watching TV All day. Now I swim, walk, take care of dogs, etc. I realized it helps me with anxiety and depression.",0,43
Gabapentin,"Took 300mgs of Gabapentin today at 10:29am. Got really dizzy and my mouth felt a bit puffed up. But, I did not have that much anxiety. My anxiety makes my throat feel like it's going to close but when I took the gabapentin, I felt a lot better and now, at 5pm, my throat feels fine, my pain is gone and you know I feel a lot better. Supposed to be taking it 3 times a day. But, I am VERY scared of taking meds. But, once I found out gabapentin is a neurotransmitter and calms your nervous system, I felt better. Tired too. Maybe might get some sleep finally.",6,29
Gabapentin,I have been on this medicine for 3 year's. I take 3200mg daily in divided doses.  I was put on it after I lost my husband to suicide in front of me.,10,56
Gabapentin,"Hey Im Troy I live in California. I dont know where to start so Ill just tell you what Ive been through and how this medication helped me. Ive been bullied since grade 5 about a multitude of things. My whole life (so far) Ive always felt different. Like I see things a lot differently than other people and I suffer from existential anxiety and severe anxiety. Always wondering why were here how we got here whats the meaning of life blah blah blah. Anyways, you get my point and maybe you even relate to me. Ive tried a bunch of medications to help me like: hydroxyzine, lexapro, abilify, adderall, strattera, Wellbutrin and a lot more I cant remember atm. Anyways Gabapentin - after taking it for two days has already changed my thoughts, and my actions this medication makes me feel extremely happy, outgoing, at ease, and just overall fine. My thoughts no longer take control of me and drive me insane. Thank you Neurontin.",10,114
Gabapentin,"You definitely feel weird and spaced out for a few days but that will go away once your body gets used to it.  I was prescribed 300mg 3X a day for pain. I also take OxyContin and Norco. It changed my whole life. My pain dr didnt know about the years I have suffered with PTSD, GAD and severe tension. To the point where my muscles in my upper back, shoulders, neck and back of my head, including my jaw would tense so much that I had constant headaches. So severe that I would vomit. This went on for years. I tried EVERYTHING! So little did I know that when dr added gabapentin, it would change everything. I got my first 8 hr sleep in over 20 years. It helped with all the pain. I started going for walks, cleaning my house and doing projects again. I feel amazing! So please give it a chance to work. I know it feels weird and icky for a few days but that does go away. Dont give up.",10,67
Gabapentin,"On 400mg three times a day.  Feel wonderful, but not drugged.  I feel normal.  No more anxiety or depression and I sleep 7 to 8 hours a night.  For the people saying gabapentin isn't working for them: it could be because your dose is too low.  I started at 100mg three times a day and it did nothing.  Went up to 300mg three times a day and felt better, but still anxious and wasn't sleeping well.  Went up to 400mg three times a day and it's working wonderfully.  Don't give up.  It's all about finding the right dose for you.  Some people need  a bigger dose three times a day to see results.  Plus, it took about a month before I noticed the full results of the drug.",10,45
