Drug,Review,Score,Likes
Invega Sustenna,"this medication is the best anti psychotic i ever took, i'm getting the shot 244 mg, and the delusions and hallucinations are under control, this medicine is a life saver. the side effects i experience is anxiety and weight but overall it's a great medicine.",8,18
Invega Sustenna,"This medication is weird , it basically shuts down your brain, you will become a zombie after this medication,  gained 100 lbs , stabilizes mood and so expensive.",6,13
Invega Sustenna,"Clears the mind of weird thoughts, delusions and hallucinations. Weight gain has been noted as well as a general feeling of restlessness and drowsiness. I'm always on slow-motion and need to think things twice or 3 times. Still better than having conversations with dead people or thinking my brain can see in the future... by the way, DON'T try quitting this drug cold turkey. It's a recipe for disaster.",8,22
Invega Sustenna,Gained weight. Too much. Fear of cholesterol and diabetes. Less work. Lost a girlfriend.,1,17
Invega Sustenna,My wife has suffered from late onset schizophrenia with severe positive symptoms for over 10 years. She started Invega Sustena treatment (monthly injection) a year ago and has made dramatic improvements. All of her positive symptoms have gone away. Residual negative symptoms remain but is now manageable with talk therapy. The injection method helps with compliance as daily pills are difficult to maintain and easy to discontinue. This is a wonder drug...,10,27
Invega Sustenna,"My daughter had the injection this month.It stopped her psychosis, still a little paranoia. The first ten days severe pain in neck. Also some dizziness still and balance problems she says. She took cogentin for neck. Some relief from the neck now. Another issue from blood test is high prolactin level. We will be seeing her Dr this week .Dont know if side effects worth it",7,17
Invega Sustenna,"Very high smoking sensation, weight gain, tiredness, and insomnia. But its the best antipsychotic med for me.",10,21
Invega Sustenna,I have been on Invega for 5 months now and it has significantly improved my quality of living. Prior to the shot I was on numerous antipsychotics and would begin to stop taking the pills and go into relapse with symptoms. I'm not on the shot and auditory and visual hallucinations and paranoia have decreased dramatically. I like that it is a monthly shot and it cuts down remembering (or wanting) to take a pill once or twice a day.,9,29
Invega Sustenna,"I found this medication to cause side effects of swaying while standing up &amp; sometimes rocking back and forth whilst sitting down. Because this is taken monthly I am on 150mg, towards the end of the month I became unwell and psychotic symptoms reoccurred. Delusional thoughts mainly. I am now going to try Abilify and hope I don't have bad side effects but I know that without my medication I would relapse.",5,23
Invega Sustenna,"Invega is working great on auditory symptoms and no lethargy noted.  I have noted some of the adverse side effects after the first dose: sudden weight gain, indigestion, pain at injection site and sore throat. In addition to these there has been increasing facial and abdominal bloating, I am concerned but there is no other medicine I am aware of at this time and the doctor feels the benefit outweighs the side effects.",9,31
Invega Sustenna,This medication is Great.,9,31
Quetiapine,"<b>Seroquel (quetiapine):</b>			 I used to take this drug Seroquel for 7 years. The only side effects I had was sleeping too much, no way to wake up in the morning and still sleeping for 1st hour of being awake. Once I threw up breakfast because my body was just not working yet. And I was always putting guilt on me, because I didn't know that this is pill side effect. I used to think I am lazy, because I couldn't wake up. When having job, I always needed someone who woke me up, because I always turned off the alarm unaware, while sleeping. Only now when I changed pills and can normally wake up I see that I am not lazy and I am very happy for that fact! Another side effect was muscles cramps in legs - when I went to bed, I couldn't stay still, I had to move my legs because of some weird muscle tightens. This happened occasionally. The side effects were not so terrible. It didn't do any harm to mind and emotions.",0,5
Quetiapine,"The quetiapine manufactured by Roane is a poor substitute for seroquel. In fact the 54 527 tablet is dangerous, non effective and different from any form of the medicine ever used before. Highly recommend it being banned.",1,0
Quetiapine,"<b>Seroquel (quetiapine):</b>			 My son has autism and anxiety.  He started experiencing psychosis/auditory hallucinations at age 18...so bad he would yell and get very angry.  We have started Seroquel, on it over 2 months now, some improvement but not great.  His doc has now upped it from 25mg and we are now 500 mg.  Along with Mirtazipine and Ativan for sleep.  Hoping we can stay ahead of of his episodes instead of chasing them.  Ill give an update.  Super helpful to read others reviews.  praying we see some good results.",0,8
Quetiapine,"<b>Seroquel (quetiapine):</b>			 I've had a lot of side effects caused by this drug I never knew it was caused by this drug, I had high blood pressure, terrible gas last for days, muscle cramps, seizures I gained 60 lbs or more imbalance drug for 5 years or more I would not recommend it for anybody",0,5
Quetiapine,quetiapine Really works for my insomnia and schizophrenia. Wake up with less anxiety and feel refreshed. No weight gain as I eat healthy and do regular exercise.,10,4
Quetiapine,<b>Seroquel (quetiapine):</b>			 I started 100 mg of Seroquel after Abilify failed at managing my symptoms.  On Abilify I was waking with constant anxiety and restless leg syndrome.  Once I started taking Seroquel anxiety and restless leg syndrome disappeared and Im feeling the best Ive felt in a long time.  The first week I was tired but after that passed its been nothing but a sense of inner peace and calmness.  So happy I tried this medicine again.  I think the dose of 100 mg is a perfect dose for me.,0,34
Quetiapine,<b>Seroquel (quetiapine):</b>			 I rely on this for my sleep and psychosis episodes. I take 1/2 the 25mg as needed. No weight gain. I exercise and eat healthy. It's a lifesaver knowing my scary episodes can be treated with this.,0,23
Quetiapine,<b>Seroquel (quetiapine):</b>			 Seroquel makes the psychosis easier to deal with but makes me very tired. experienced side effect drowsiness every time I took it.,0,15
Quetiapine,<b>Seroquel (quetiapine):</b>			 I find Seroquel great I was diagnosed with schitzophenia in 2001 and haven't been hospitalized since then. It works great for me,0,20
Quetiapine,"<b>Seroquel (quetiapine):</b>			 This drug has really helped me with the voices and the paranoia. I have been on it for nearly 3 years. I have been on pretty much every antipsychotic there is and have been dealing with this illness for a long, long time. The downside is that you will gain weight. I have lost some of it by reducing calories and taking metformin. Walking seems to help too. If you do take this one, stay as active as you can to avoid diabetes because as my psychiatrist told me It will happen eventually Also, I adopted a vegatarian diet to help lower other risks with this one. The other downside is that it can make you very tired. I take 400mg at night and 75mg in the morning and another 75mg in the afternoon. I still hear voices and don't want to be around other people but it is much more manageable and I can at least have some kind of life. To be honest, I probably would have killed myself if it were not for this drug. I am surprised I even wrote this as I am a very paranoid person.",0,51
Quetiapine,"Was on haloperidol for many years and was somewhat helpful with main  schizophenia symptoms, but my psychiatrist was worried about tardive dyskinesia as Haldol use has a high incidence of TD. I switched to quetiapine (Seroquel) and many of the remaining psychotic symptoms went away and my confidence came back and I had energy and fell asleep easily and slept well. I was more social and less socially anxious. Months down the road, I realized I had mania. It started to cause problems with my relationships because I talked TOO much, and became much too task oriented, less sensitive to my family's feelings, and was agitated. Mania makes you feel great, but it really isn't a good thing. AH started presenting again, so I upped my quetiapine to double the dose (under supervision). Now TD seems to presenting significantly. I love quetiapine, but it has a lot of upsides and downsides.",7,5
Quetiapine,"So on paper this drug worked miracles. I could live a normal life and function again, for the short 6.5 months I took this the effects became less and less, so my practitioner prescribed (alongside this medication) Olanzapine.  I began having unusual twitches in the face, odd numb feelings too, so I spoke to them and they said not to worry it's a normal side effect - ok then, I'll take that. 2 weeks later I am struggling to speak, my sentences stop in their tracks and my throat tightens up, my heart was fluttering and pounding all day so we visit the ER. I am sent home given the It's just anxiety. 2 hours later I have a seizure and this induced an SVT (or vice versa, the cardiologist can't say for sure) which brought my pulse up to 248bpm, I struggle to get oxygen and in resuscitation I begin having a cardiac arrest and am given cardioversion. This medication may work wonders, but if you are one of the unluckly few who suffer cardiac problems, take caution of any symptoms.",3,3
Quetiapine,I have used quetiapine for about a year and a half in total. This is the medication that gave me the least side effect.  It reduced my anxiety a bit as well.  My symptoms of schizophrenia aren't too visible so it didn't change much but at least I can move on in life.,10,8
Quetiapine,"<b>Seroquel XR (quetiapine):</b>			 I started taking this when I was 12 years old  and the entire time I was on it, I gained probably like 40-60 pounds. But I was some what over weight at the time so probably thought not much about it. I would miss school because my mom had a death wish if she woke me up. It made me tired and foggy for days. Last October my mom woke me up just a few hours after taking it. And I couldn't even comprehend what she was saying. So along with the schizophrenia I also have sleep apnea I stop breathing in my sleep, thank god I can figure it out pretty fast and wake up. On seroquel it's impossible and also makes it worse. Even after more then ten years I really hate this medication. I haven't taken it for a for maybe a year or more. But they still prescribe it.  They started me on Abilify which. I recommend for anyone with schizophrenia or B.L.P. or B.P. because  Abilify does work, and it works fast and also it doesn't cause any sleeping problems  or drowsiness. And even comes in a once a month dose.",0,4
Quetiapine,I have been on quetiapine and it makes me feel sedated and not want to do anything but sit around. It helps me sleep but that's it. I'm going to get off of it as I don't like it.,3,1
Quetiapine,<b>Seroquel (quetiapine):</b>			 a purple 300mg seroquel tablet really works to set rehab in motion.,0,6
Quetiapine,"<b>Seroquel (quetiapine):</b>			 I was on Seroquel for years for my schizophrenia. It did work really good, kept my psychosis down, kept me in reality. Really helped get rid of the voices although I did still hear some. Unfortunately I had to be taken off of Seroquel due to the damage it was causing to my liver. If it wasn't for the negative side effects it would have been the perfect medication for me.",0,23
Quetiapine,"I started on 50mg  and I'm now on 600mg within 4 months. This medication was my saving grace. It stopped all my suicidal thoughts it stopped the voices in my head, if I don't take this medication at night the next day the voices start coming through and they are not all nice. I'm on a lot of medication including tramadol and diazepam I never feel sedated the next day but 600mg combined with a zopiclone helps me get some sleep. I'm 24 and was bullied for 4 months  straight everyday whilst serving on the forces. Now I'm ruined for life because of one man abusing his power.",10,2
Quetiapine,<b>Seroquel (quetiapine):</b>			 I took one pill 50 mg I was in such a deep sleep my children could not wake me up even the next morning I felt like I was drugged I slept the entire day away.  You can forget about driving on this stuff two days later I still felt the affects of the drug.,0,14
Quetiapine,"This med really helps with paranoia and delusional behavior but the side effects are horrific! Weight gain is unavoidable. It drops my blood sugar and Im forced to eat or Ill pass out. I hate the dizzy, light headed feeling of needing to eat immediately after taking it. It also distorts my vision and I already wear glasses because I cant see 10 ft in front of me. I take 150mg four times a day and it doesnt make me sleepy but it does put me in a foggy haze. Restless legs at night are awful. At my next appointment Im switching to another drug because I cant handle these side effects! If I dont take this med and skip a dose, the extreme paranoia instantly comes back along with irregular heartbeat and it feels like the quetiapine KNOWS you didnt take it so it makes your day awful until you do. Weirdest drug Ive ever taken.",5,2
Quetiapine,"Hi all, I have been diagnosed with Chronic Schizophrenia 6 years ago I'm now 19, I have been on Quetiapine (Seroquel) for the last 5 years as many of the other medications had little to no effect on my illness, I am now on 550mg of Quietpaine a day, 100mg in morning 100mg lunch time, and then 350 a night, this medication is a lot different from other antipsycotics, very different as it effects different part of brain and I find it doesn't leave me Blank but all other antipsych left be very foggy and couldn't think, this drug has work wonders for me, I does not knock me out but it helps my schizophrenia, delusions, voices etc but I would recommend getting a muscle relaxer as legs and get very restless where you have to move them its a weird feeling but usually a muscle relaxer would fix this...I have progressed a lot with this medication but it will only work well for some people always research all medication before taking it try find the right one for you!",10,5
Quetiapine,<b>Seroquel (quetiapine):</b>			 I've been taking Seroquel for a long time. It destroyed my life. It's addictive because when you stop taking it you'll never be able to sleep again. There's no getting off of it. I sleep in till 2 to 5 pm every day. I'm sluggish all day. It never helped with any of my symptoms of schizophrenia. It makes me crave sugar immensely. This drug is very dangerous. You have to be very careful when taking it. Don't drive or be around people you don't know or trust. Let's just say I could sleep through anything. This drug should be illegal even if it does help some people with their mental illness. There are other things people can take. Risperdal for example does wonders for me. I'm working with my doctor on getting off of Seroquel. I didn't do it sooner because I'm so sick I can barely accomplish anything really. I just want to say to all schizophrenics I'm so sorry. I'm so sorry that NOBODY has any idea of what's happening to you.,0,38
Quetiapine,"<b>Seroquel (quetiapine):</b>			 My daughter began taking 400mg of Seroquel when she was 17 years old. The first year she gained over 40 pounds.  Her doctor recognized that the weight gain was contributing to her depression. He prescribed Topamax. My understanding is that  Topamax is normally used to treat seizures but this medication also helps with impulsivity (which she struggles with as well).   A side effect is that its an appetite suppressant, or at least thats how it effects my daughter.  She currently takes  100 mg a day and is back down to her regular weight.  I hope others can safely be prescribe this medication  if their doctors find it appropriate.",0,19
Quetiapine,biquelle generic = made me manic &amp; very mentally ill. G.P swapped me back to seroquel all ok. G.P- notes never to prescribe it me again.,1,3
Quetiapine,"<b>Seroquel (quetiapine):</b>			 helps with delusions and hallucinations with schizophrenia, it doesn't help anxiety but does aid sleep at start but now I can take 400-800 at night and it still won't make me tired just calms my schizophrenia down a lot. It is a very good antipsychotic not sure how people use it for sleep and it did help with sleep for the first week and now it  doesn't make me sedated or tired but sedates my mind.",0,10
Quetiapine,"Been on this for about 6 months, people say it knocks you out, well I think that it only does this for the first 2 weeks I was on it I take 100mg twice  a day and 75mg before bed.  It is a very very good medication for schizophrenia as it really blocks most of the delusions and voices and also helps a lot keeping the temper under control but when you flip you really go nuts.  This med keeps very stable most of time and helps appetite very well I have not really gained to much weight but its best to do some exercise when you can, helps a bit with anxiety but not enough for me. So I'm currently waiting to go to psych doc to work something out to stop anxiety and I'm thinking lyica as benzos don't really do much for me. All in all very good medication",10,2
